Samples,Endomicrobium_proavitum,Bacteroides_pyogenes,Proteiniphilum_acetatigenes,Proteiniphilum_saccharofermentans,Petrimonas_mucosa,Porphyromonas_catoniae,Porphyromonas_gingivalis,Porphyromonas_sp_KLE_1280,Porphyromonas_sp_oral_taxon_278,Prevotella_buccae,Prevotella_intermedia,Prevotella_loescheii,Prevotella_micans,Prevotella_saccharolytica,Prevotella_sp_oral_taxon_317,Prevotella_sp_oral_taxon_472,Tannerella_forsythia,Phocaeicola_abscessus,Capnocytophaga_granulosa,Capnocytophaga_ochracea,Capnocytophaga_sp_ChDC_OS43,Capnocytophaga_sp_oral_taxon_326,Capnocytophaga_sp_oral_taxon_329,Capnocytophaga_sp_oral_taxon_332,Capnocytophaga_sp_oral_taxon_338,Capnocytophaga_sp_oral_taxon_863,Bacteroidetes_oral_taxon_274,Fusobacterium_hwasookii,Fusobacterium_nucleatum,Fusobacterium_periodonticum,Leptotrichia_buccalis,Leptotrichia_goodfellowii,Leptotrichia_hofstadii,Leptotrichia_sp_oral_taxon_212,Leptotrichia_sp_oral_taxon_215,Leptotrichia_sp_oral_taxon_225,Leptotrichia_sp_oral_taxon_879,Lautropia_mirabilis,Alicycliphilus_denitrificans,Comamonas_serinivorans,Comamonas_testosteroni,Hydrogenophaga_sp_RAC07,Ottowia_sp_oral_taxon_894,Polaromonas_sp_JS666,Serpentinomonas_mccroryi,Serpentinomonas_raichei,Eikenella_corrodens,Kingella_denitrificans,Morococcus_cerebrosus,Neisseria_bacilliformis,Neisseria_elongata,Neisseria_gonorrhoeae,Neisseria_meningitidis,Neisseria_sicca,Neisseria_sp_HMSC064E01,Neisseria_sp_HMSC072F04,Neisseria_sp_HMSC077D05,Neisseria_sp_oral_taxon_014,Neisseria_sp_oral_taxon_020,Betaproteobacteria_bacterium_GR16-43,Desulfobulbus_elongatus,Desulfobulbus_propionicus,Desulfomicrobium_orale,Campylobacter_concisus,Campylobacter_curvus,Campylobacter_gracilis,Cardiobacterium_hominis,Cardiobacterium_valvarum,Aggregatibacter_aphrophilus,Aggregatibacter_segnis,Haemophilus_parainfluenzae,Acinetobacter_venetianus,Pseudomonas_aeruginosa,Rhodanobacter_sp_Soil772,Silanimonas_lenta,Treponema_denticola,Treponema_lecithinolyticum,Treponema_maltophilum,Treponema_putidum,Treponema_socranskii,Aminomonas_paucivorans,Cloacibacillus_evryensis,Cloacibacillus_porcorum,Fretibacterium_fastidiosum,Jonquetella_anthropi,Thermanaerovibrio_acidaminovorans,Actinobaculum_sp_oral_taxon_183,Actinomyces_dentalis,Actinomyces_gerencseriae,Actinomyces_glycerinitolerans,Actinomyces_israelii,Actinomyces_massiliensis,Actinomyces_naeslundii,Actinomyces_oris,Actinomyces_provencensis,Actinomyces_radicidentis,Actinomyces_sp_HPA0247,Actinomyces_sp_oral_taxon_170,Actinomyces_sp_oral_taxon_180,Actinomyces_sp_oral_taxon_414,Actinomyces_sp_oral_taxon_848,Actinomyces_sp_oral_taxon_849,Mobiluncus_curtisii,Schaalia_cardiffensis,Schaalia_georgiae,Schaalia_meyeri,Schaalia_odontolytica,Schaalia_turicensis,Corynebacterium_durum,Corynebacterium_matruchotii,Rothia_aeria,Propionibacterium_freudenreichii,Propionibacterium_sp_oral_taxon_192,Atopobium_parvulum,Olsenella_uli,Olsenella_sp_kh2p3,Olsenella_sp_oral_taxon_807,Coriobacteriaceae_bacterium_68-1-3,Eggerthella_lenta,Gordonibacter_massiliensis,Gordonibacter_pamelaeae,Slackia_exigua,Anaerolineaceae_bacterium_oral_taxon_439,Gemella_morbillorum,Abiotrophia_defectiva,Abiotrophia_sp_HMSC24B09,Granulicatella_adiacens,Streptococcus_anginosus,Streptococcus_cristatus,Streptococcus_gordonii,Streptococcus_mitis,Streptococcus_oralis,Streptococcus_pneumoniae,Streptococcus_sanguinis,Streptococcus_sp_DD04,Clostridium_botulinum,[Eubacterium]_brachy,[Eubacterium]_infirmum,[Eubacterium]_saphenum,[Eubacterium]_sulci,Anaerovorax_odorimutans,Eubacterium_sp_3_1_31,Pseudoramibacter_alactolyticus,Catonella_morbi,Johnsonella_ignava,Lachnoanaerobaculum_saburreum,Lachnoanaerobaculum_sp_OBRC5-5,Oribacterium_sp_oral_taxon_078,Lachnospiraceae_bacterium_oral_taxon_500,Clostridioides_difficile,Filifactor_alocis,Peptoanaerobacter_stomatis,Peptostreptococcus_anaerobius,Peptostreptococcaceae_bacterium_oral_taxon_113,Ruminococcus_flavefaciens,Eggerthia_catenaformis,Solobacterium_moorei,Centipeda_periodontii,Selenomonas_noxia,Selenomonas_ruminantium,Selenomonas_sputigena,Selenomonas_sp_oral_taxon_126,Selenomonas_sp_oral_taxon_892,Selenomonas_sp_oral_taxon_920,Anaeroglobus_geminatus,Dialister_invisus,Veillonella_parvula,Murdochiella_vaginalis,Parvimonas_micra,Parvimonas_sp_KA00067,Peptoniphilus_sp_oral_taxon_386,Candidatus_Saccharibacteria_oral_taxon_TM7x,bacterium,Candidatus_Methanomethylophilus_alvus,Thermoplasmatales_archaeon_BRNA1,Methanobrevibacter_millerae,Methanobrevibacter_olleyae,Methanobrevibacter_oralis,Methanobrevibacter_ruminantium,Methanobrevibacter_smithii,Methanobrevibacter_wolinii,Methanobrevibacter_sp_YE315
Group3_bleach,0,0,0,0,0,0,127,0,0,0,0,0,0,159,115,160,1398,289,299,90,275,0,0,0,0,0,1995,0,132,0,171,0,0,139,0,0,0,253,0,0,0,0,2742,0,0,0,179,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,4626,0,0,605,442,1259,0,0,0,0,0,0,0,923,0,296,0,950,119,0,0,3008,0,0,0,1715,1014,0,0,1396,311,437,0,0,0,99,0,4412,303,0,0,196,151,0,0,0,169,7100,0,0,0,0,0,0,21153,0,0,0,0,98,5965,0,0,0,0,0,0,0,0,0,0,148,127,0,152,138,595,0,0,0,0,256,384,0,0,0,0,0,370,0,0,482,0,163,0,0,189,0,0,0,0,96,0,0,0,0,0,0,127,1150,0,0,0,87,0,201,0,0,0,229
Group3_bleach,0,0,0,0,0,0,649,0,0,0,0,0,0,0,0,0,3144,0,0,0,0,0,0,0,0,0,1994,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,300,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13725,0,0,376,0,361,0,0,0,0,0,0,0,850,0,492,0,1346,191,0,0,6375,129,101,147,3860,1526,0,0,107,0,0,0,0,0,0,0,11115,0,0,0,531,0,0,0,0,0,448,0,0,0,0,0,0,8782,0,0,0,0,0,7363,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,531,0,0,0,0,0,285,0,0,0,0,0,255,0,0,4190,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0
Group3_bleach,0,0,0,0,0,829,204,1009,255,0,287,545,190,391,150,1443,874,0,839,138,1626,186,797,0,177,263,1674,1782,464,258,145,0,134,2397,200,0,0,7670,0,0,0,0,369,0,0,0,1145,184,0,0,418,0,738,1865,162,195,0,889,0,0,0,0,1293,150,0,176,518,314,2492,314,0,0,0,0,0,274,0,165,0,357,0,0,0,1700,0,0,0,749,0,0,0,214,331,659,0,0,224,128,0,2031,0,0,0,209,0,166,1019,0,0,345,255,0,0,0,0,0,3295,0,0,0,0,0,1117,1164,364,1022,0,0,0,530,824,3342,192,7454,318,0,0,0,621,0,0,0,0,302,367,182,226,0,740,0,286,193,0,655,0,0,0,0,130,0,0,0,600,0,0,0,160,0,404,0,0,481,0,0,0,130,0,261,0,0,0,266
Group3_bleach,0,0,0,0,0,189,308,145,122,0,201,104,0,0,178,337,951,0,339,215,866,113,204,0,121,118,3740,179,147,0,0,0,0,495,0,0,0,5765,0,0,0,0,5545,0,0,0,457,767,0,0,1216,0,462,0,0,0,0,797,0,0,0,0,2294,0,0,583,513,1521,1408,0,127,0,0,0,0,537,0,297,0,698,0,0,0,1854,0,0,0,2730,354,0,0,245,409,1503,0,0,0,163,0,7715,0,0,0,228,159,295,0,0,1370,4404,2195,0,0,0,0,0,5847,0,0,0,0,0,938,0,295,299,0,0,0,0,0,147,0,4508,0,0,0,0,0,0,0,0,0,149,295,0,0,0,198,0,138,0,0,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,595,0,0,0,0,0,0,0,0,0,0
Group3_bleach,0,0,0,0,0,0,168,0,0,128,0,0,0,0,0,0,731,1002,0,0,0,0,0,0,0,0,1736,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,1316,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,284,293,490,0,148,0,162,0,0,0,0,0,134,0,576,138,581,0,0,0,3477,0,0,0,1467,133,0,1203,116,193,658,0,128,160,0,133,4709,0,0,0,122,0,0,595,0,0,0,0,0,0,413,740,0,13149,0,0,0,0,614,5848,287,137,0,0,297,743,940,0,1085,211,1454,11635,0,0,228,0,340,0,0,1065,927,458,201,230,114,110,0,0,0,100,150,0,83,440,110,0,0,1107,107,280,0,116,612,0,0,2269,118,0,2010,0,0,0,0,0,183,0,0,0,196
Group3_bleach,0,0,0,0,0,99,178,0,161,0,303,247,0,225,271,703,1815,0,228,178,546,0,0,0,0,0,2416,0,147,0,199,0,0,379,0,0,0,6891,0,0,0,0,431,0,0,0,541,0,0,0,321,0,0,0,0,0,0,899,0,0,113,178,0,0,0,888,567,1375,240,0,0,0,0,0,0,545,0,328,0,564,0,0,0,2922,0,0,0,3772,343,0,0,1920,1211,452,0,0,0,0,0,10808,0,121,0,146,167,0,160,0,0,11732,0,0,285,0,0,0,4671,0,0,0,0,0,1024,372,147,473,0,0,0,226,0,144,0,2810,328,0,157,0,249,0,0,0,0,641,533,0,0,0,172,0,203,0,0,712,0,0,0,0,268,0,0,0,271,0,0,0,0,0,352,0,0,833,0,0,0,0,0,0,0,0,0,0
Group4_UV_bleach,0,0,0,0,0,288,0,242,189,0,0,187,0,0,0,571,386,0,1066,191,1953,247,481,0,270,369,869,1785,608,334,264,0,179,2323,211,0,0,8540,0,0,0,0,439,0,0,0,1413,0,0,0,435,0,558,317,0,0,0,1284,0,0,0,0,0,0,0,437,375,346,1740,331,0,0,0,0,0,239,0,194,0,654,0,0,0,1046,0,0,0,1939,0,0,0,0,0,931,0,0,0,0,0,6102,0,0,0,291,0,0,486,0,0,368,208,0,0,0,0,0,9602,0,0,0,0,0,2247,1473,290,982,0,0,157,700,154,1269,0,6985,1037,0,246,0,162,154,0,0,0,259,292,201,156,0,503,0,0,0,0,281,0,0,0,0,0,0,0,0,175,0,0,0,209,0,431,0,0,508,0,0,0,0,0,236,0,0,0,206
Group4_UV_bleach,0,0,0,0,0,553,0,226,0,0,239,0,0,0,162,377,582,0,1499,164,1806,230,900,193,235,393,842,1536,320,178,0,0,0,2155,188,0,0,4257,0,0,0,0,3173,0,0,0,1152,629,0,0,1628,0,1068,2590,260,342,262,807,0,0,0,0,1238,0,0,340,1286,860,721,0,0,0,0,0,0,514,0,0,0,255,0,0,0,1034,0,0,0,657,0,0,0,353,1228,3066,0,0,311,1003,162,1672,0,0,0,0,0,0,1517,0,882,2041,1791,0,183,0,0,0,569,0,0,0,0,0,656,949,434,1360,236,0,0,0,0,734,0,12407,150,0,0,0,199,0,0,0,0,234,366,0,0,0,579,0,218,0,0,223,0,0,0,0,170,0,0,0,217,0,0,0,258,0,191,0,0,391,0,0,0,0,0,0,0,0,0,0
Group4_UV_bleach,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,263,190,0,664,0,1057,141,247,0,206,190,1210,0,204,0,233,347,0,696,0,0,0,7196,0,0,0,0,11897,0,0,0,362,248,0,0,480,0,310,337,0,0,0,830,0,0,0,0,899,0,0,610,645,721,171,0,221,0,0,0,0,271,0,251,0,495,0,0,0,1390,0,0,0,4676,158,0,0,375,649,878,0,0,0,0,0,11465,0,0,0,0,217,0,171,0,847,1548,1770,0,0,0,0,0,5931,0,0,0,0,0,865,0,230,194,0,0,0,481,0,770,0,4226,247,0,0,0,208,0,0,0,0,166,187,0,0,0,0,0,0,0,0,224,0,0,0,0,167,0,0,0,144,0,0,0,0,0,261,0,0,400,0,0,0,0,0,0,0,0,0,0
Group4_UV_bleach,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,410,1102,0,513,0,314,0,0,0,0,0,679,223,267,0,0,0,0,778,0,0,0,5680,0,0,0,0,922,0,0,0,548,0,0,0,406,0,276,190,266,0,0,558,0,0,0,0,514,0,0,459,288,375,481,0,0,0,0,0,0,503,0,221,0,509,0,0,0,2186,0,0,0,4122,366,0,0,330,373,1597,0,0,0,0,0,10998,0,0,0,230,0,0,516,0,0,2459,343,0,0,0,0,0,9729,0,0,0,0,0,3565,1012,333,470,0,0,0,1040,247,902,0,4227,468,0,297,195,715,0,0,0,411,433,531,0,0,320,424,0,336,0,0,1190,0,254,0,0,193,0,239,0,277,0,0,0,0,0,477,0,197,672,0,0,0,219,0,481,0,0,0,524
