Samples,Endomicrobium proavitum,Bacteroides pyogenes,Proteiniphilum acetatigenes,Proteiniphilum saccharofermentans,Petrimonas mucosa,Porphyromonas catoniae,Porphyromonas gingivalis,Porphyromonas sp. KLE 1280,Porphyromonas sp. oral taxon 278,Prevotella buccae,Prevotella intermedia,Prevotella loescheii,Prevotella micans,Prevotella saccharolytica,Prevotella sp. oral taxon 317,Prevotella sp. oral taxon 472,Tannerella forsythia,Phocaeicola abscessus,Capnocytophaga granulosa,Capnocytophaga ochracea,Capnocytophaga sp. ChDC OS43,Capnocytophaga sp. oral taxon 326,Capnocytophaga sp. oral taxon 329,Capnocytophaga sp. oral taxon 332,Capnocytophaga sp. oral taxon 338,Capnocytophaga sp. oral taxon 863,Chryseobacterium bovis,Pedobacter cryoconitis,Bacteroidetes oral taxon 274,Fusobacterium hwasookii,Fusobacterium nucleatum,Fusobacterium periodonticum,Leptotrichia buccalis,Leptotrichia goodfellowii,Leptotrichia hofstadii,Leptotrichia sp. oral taxon 212,Leptotrichia sp. oral taxon 215,Leptotrichia sp. oral taxon 225,Leptotrichia sp. oral taxon 879,Rhodobacter sphaeroides,Altererythrobacter dongtanensis,Altererythrobacter marensis,Porphyrobacter cryptus,Porphyrobacter sp. AAP82,Sphingomonas sp. IBVSS2,Sphingomonas sp. SKA58,Sphingomonas sp. Y57,Sphingopyxis macrogoltabida,Burkholderia multivorans,Burkholderia sp. K24,Cupriavidus gilardii,Cupriavidus necator,Lautropia mirabilis,Ralstonia sp. MD27,Alicycliphilus denitrificans,Comamonas serinivorans,Comamonas testosteroni,Hydrogenophaga sp. RAC07,Ottowia sp. oral taxon 894,Polaromonas sp. JS666,Serpentinomonas mccroryi,Serpentinomonas raichei,Janthinobacterium sp. 1_2014MBL_MicDiv,Rubrivivax gelatinosus,Chromobacterium violaceum,Eikenella corrodens,Kingella denitrificans,Morococcus cerebrosus,Neisseria bacilliformis,Neisseria elongata,Neisseria gonorrhoeae,Neisseria meningitidis,Neisseria sicca,Neisseria sp. HMSC064E01,Neisseria sp. HMSC072F04,Neisseria sp. HMSC077D05,Neisseria sp. oral taxon 014,Neisseria sp. oral taxon 020,Dechloromonas agitata,Candidatus Profftella armatura,Betaproteobacteria bacterium GR16-43,Desulfobulbus elongatus,Desulfobulbus propionicus,Desulfomicrobium orale,Campylobacter concisus,Campylobacter curvus,Campylobacter gracilis,Cardiobacterium hominis,Cardiobacterium valvarum,Thioalkalivibrio sp. ALJ24,Citrobacter freundii,Citrobacter sp. MGH109,Escherichia coli,Raoultella ornithinolytica,Aggregatibacter aphrophilus,Aggregatibacter segnis,Haemophilus parainfluenzae,Acinetobacter venetianus,Acinetobacter sp. CIP 102129,Acinetobacter sp. TTH0-4,Pseudomonas aeruginosa,Pseudomonas mendocina,Pseudomonas azotifigens,Pseudomonas bauzanensis,Pseudomonas azotoformans,Pseudomonas fluorescens,Pseudomonas veronii,Pseudomonas stutzeri,Pseudomonas sp. HMSC08G10,Pseudomonas sp. MRSN12121,Dyella jiangningensis,Rhodanobacter sp. Soil772,Silanimonas lenta,Stenotrophomonas maltophilia,Chlamydia psittaci,Treponema denticola,Treponema lecithinolyticum,Treponema maltophilum,Treponema putidum,Treponema socranskii,Aminomonas paucivorans,Cloacibacillus evryensis,Cloacibacillus porcorum,Fretibacterium fastidiosum,Jonquetella anthropi,Thermanaerovibrio acidaminovorans,Actinobaculum sp. oral taxon 183,Actinomyces dentalis,Actinomyces gerencseriae,Actinomyces glycerinitolerans,Actinomyces israelii,Actinomyces massiliensis,Actinomyces naeslundii,Actinomyces oris,Actinomyces provencensis,Actinomyces radicidentis,Actinomyces sp. HPA0247,Actinomyces sp. oral taxon 170,Actinomyces sp. oral taxon 180,Actinomyces sp. oral taxon 414,Actinomyces sp. oral taxon 848,Actinomyces sp. oral taxon 849,Mobiluncus curtisii,Schaalia cardiffensis,Schaalia georgiae,Schaalia meyeri,Schaalia odontolytica,Schaalia turicensis,Corynebacterium durum,Corynebacterium matruchotii,Cryocola sp. 340MFSha3.1,Leifsonia aquatica,Microbacterium sp. PAMC 28756,Rothia aeria,Nocardioides sp. J54,Acidipropionibacterium acidipropionici,Cutibacterium acnes,Propionibacterium freudenreichii,Propionibacterium sp. oral taxon 192,Streptomyces vitaminophilus,Atopobium parvulum,Olsenella uli,Olsenella sp. kh2p3,Olsenella sp. oral taxon 807,Coriobacteriaceae bacterium 68-1-3,Eggerthella lenta,Gordonibacter massiliensis,Gordonibacter pamelaeae,Slackia exigua,Anaerolineaceae bacterium oral taxon 439,Limnoraphis robusta,Bacillus thermoamylovorans,Gemella morbillorum,Abiotrophia defectiva,Abiotrophia sp. HMSC24B09,Granulicatella adiacens,Streptococcus anginosus,Streptococcus cristatus,Streptococcus gordonii,Streptococcus mitis,Streptococcus oralis,Streptococcus pneumoniae,Streptococcus sanguinis,Streptococcus sp. DD04,Clostridium botulinum,Clostridium homopropionicum,[Eubacterium] brachy,[Eubacterium] infirmum,[Eubacterium] saphenum,[Eubacterium] sulci,Anaerovorax odorimutans,Eubacterium sp. 3_1_31,Pseudoramibacter alactolyticus,Catonella morbi,Johnsonella ignava,Lachnoanaerobaculum saburreum,Lachnoanaerobaculum sp. OBRC5-5,Oribacterium sp. oral taxon 078,Lachnospiraceae bacterium oral taxon 500,Clostridioides difficile,Filifactor alocis,Peptoanaerobacter stomatis,Peptostreptococcus anaerobius,Peptostreptococcaceae bacterium oral taxon 113,Ruminococcus flavefaciens,Eggerthia catenaformis,Solobacterium moorei,Centipeda periodontii,Selenomonas noxia,Selenomonas ruminantium,Selenomonas sputigena,Selenomonas sp. oral taxon 126,Selenomonas sp. oral taxon 892,Selenomonas sp. oral taxon 920,Anaeroglobus geminatus,Dialister invisus,Veillonella parvula,Murdochiella vaginalis,Parvimonas micra,Parvimonas sp. KA00067,Peptoniphilus sp. oral taxon 386,Candidatus Saccharibacteria oral taxon TM7x,bacterium,Candidatus Methanomethylophilus alvus,Thermoplasmatales archaeon BRNA1,Methanobrevibacter millerae,Methanobrevibacter olleyae,Methanobrevibacter oralis,Methanobrevibacter ruminantium,Methanobrevibacter smithii,Methanobrevibacter wolinii,Methanobrevibacter sp. YE315
8827_AndrewDecon_Group2_UV_EtOH_wash_Crushing,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,322,3516,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,367,13124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,1154,0,957,0,1211,607,294,246,17861,301,0,0,9444,1200,331,235,0,0,0,368,0,0,0,0,21387,0,0,0,4757,0,1086,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,484,0,0,0,301,59713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,1031,1684,751,539,0,249,441,384,0,0,266,0,0,500,0,0,2057,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,300,0,551,1751,0,0,0,0,0,358,0,0,0,445
8829_AndrewDecon_Group3_Bleach_EtOH_wash_Crushing,0,0,0,0,0,0,317,0,0,0,0,0,0,380,348,453,3896,802,866,276,774,0,0,0,0,0,0,0,5546,0,387,0,468,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,0,0,0,0,0,7531,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,1241,0,0,0,0,0,0,12553,0,0,1627,1184,3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2520,0,804,0,2638,285,0,0,8223,0,0,0,4857,2829,0,0,3834,869,1182,0,0,0,268,0,12322,862,0,0,515,402,0,0,0,473,19777,0,0,0,0,0,0,0,0,0,0,0,0,0,58428,0,0,0,0,308,16605,0,0,0,0,0,0,0,0,0,0,0,0,443,365,0,0,403,362,1698,0,0,0,0,664,1035,0,0,0,0,0,1009,0,0,1317,0,528,0,0,514,0,0,0,0,285,0,0,0,0,0,0,348,3226,0,0,0,265,0,525,0,0,0,605
8831_AndrewDecon_Group3_Bleach_EtOH_wash_Crushing,0,0,0,0,0,0,2047,0,0,0,0,0,0,0,0,0,10521,0,0,0,0,0,0,0,0,0,0,0,6832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,1135,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47017,0,0,1249,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3089,0,1768,0,4645,669,0,0,21904,417,334,536,13433,5242,0,0,334,0,0,0,0,0,0,0,37731,0,0,0,1786,0,0,0,0,0,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,30548,0,0,0,0,0,25270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,1932,0,0,0,0,0,967,0,0,0,0,0,958,0,0,14316,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,3428,0,0,0,0,0,0,0,0,0,0
8833_AndrewDecon_Group1_EtOH_wash_Crushing,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16986,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,118,674,0,1252,159,0,0,6592,0,0,144,2748,848,0,0,0,0,165,0,0,0,0,0,7133,0,0,0,1480,184,288,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,10756,0,0,0,0,341,11204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,111,1739,0,0,0,0,134,266,0,0,0,0,0,712,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,1224,0,0,0,0,0,0,0,0,0,0
8834_AndrewDecon_Group3_Bleach_EtOH_wash_Crushing,0,0,0,0,0,2124,565,2614,652,0,755,1377,460,948,404,3698,2194,0,2141,332,4105,500,2054,0,473,686,0,0,4480,4653,1198,636,397,0,317,6159,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19485,0,0,0,0,0,913,0,0,0,0,0,0,2955,476,0,0,1018,0,1835,4905,403,514,0,2331,0,0,0,0,0,0,3209,404,0,470,1294,839,0,0,0,0,0,6315,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,0,424,0,894,0,0,0,4293,0,0,0,1954,0,0,0,572,916,1661,0,0,556,323,0,5122,0,0,0,552,0,407,2736,0,0,890,0,0,0,698,0,0,0,0,0,0,0,0,0,8334,0,0,0,0,0,2857,0,0,3026,950,2605,0,0,0,1326,2009,8697,476,19447,809,0,0,0,0,1701,0,0,0,0,797,945,451,542,0,1849,0,689,457,0,1655,0,0,0,0,337,0,0,0,1618,0,0,0,433,0,980,0,0,1358,0,0,0,342,0,684,0,0,0,680
8840_AndrewDecon_Group1_EtOH_wash_Crushing,0,290,525,904,700,0,0,0,0,0,0,0,0,0,0,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,561,0,358,0,1090,634,0,535,12415,310,253,0,1172,0,0,0,0,0,0,0,0,0,0,0,3474,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18774,0,0,0,0,0,18648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,1992,1072,6130,876,1046,0,678,1490,0,0,0,0,0,360,1951,426,0,8938,328,1877,0,0,0,0,0,0,0,0,0,0,0,0,369,0,1378,1612,0,0,0,5041,1478,9343,274,3035,390,11253
8843_AndrewDecon_Group2_UV_EtOH_wash_Crushing,0,0,0,0,0,0,1811,0,0,0,0,0,0,0,0,0,10147,970,0,0,0,0,0,0,0,0,0,0,3502,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,425,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,797,26815,0,0,1505,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3917,456,2088,0,4115,672,0,419,23912,409,314,485,7719,1619,0,0,320,0,670,0,0,0,0,0,21973,484,0,0,574,716,453,0,0,0,3280,0,0,0,0,0,0,0,0,0,0,0,324,0,57767,359,0,0,0,538,13351,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,536,505,4231,0,0,0,0,733,1373,367,0,0,0,0,2998,0,0,2397,0,388,0,0,456,0,1599,469,0,0,0,0,0,0,0,0,337,1352,0,0,0,340,0,712,0,0,0,776
8844_AndrewDecon_Group2_UV_EtOH_wash_Crushing,847,406,556,901,890,0,782,0,0,0,0,0,0,369,0,0,5438,914,0,0,0,0,0,0,0,0,0,0,7915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,684,10335,0,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3277,0,2027,0,11132,755,0,396,23625,430,0,452,11862,1211,0,0,0,0,656,0,0,0,0,0,39757,0,0,0,1024,0,0,0,0,0,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,71360,0,0,0,0,765,18900,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,1251,1147,2454,726,821,0,0,540,0,0,0,978,0,0,1160,0,0,2625,0,1442,0,0,637,552,3431,0,0,406,0,0,0,387,0,0,1059,1470,391,545,548,0,0,629,0,0,0,674
8855_AndrewDecon_Group3_Bleach_EtOH_wash_Crushing,0,0,0,0,0,537,753,375,330,0,568,293,0,0,498,955,2610,0,935,587,2340,318,496,0,292,290,0,0,10311,488,386,0,0,0,0,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15825,0,0,0,0,0,15546,0,0,0,0,0,0,1285,2159,0,0,3309,0,1251,0,0,0,0,2093,0,0,0,0,0,0,6259,0,0,1624,1442,4174,0,0,0,0,0,3879,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1446,0,811,0,1854,0,0,0,5153,0,0,0,7433,876,0,0,649,1096,3995,0,0,0,437,0,21394,0,0,0,623,450,796,0,0,3859,12111,0,0,0,5969,0,0,0,0,0,0,0,0,0,15929,0,0,0,0,0,2642,0,0,0,790,737,0,0,0,0,0,412,0,12427,0,0,0,0,0,0,0,0,0,0,434,827,0,0,0,504,0,398,0,0,3731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,1594,0,0,0,0,0,0,0,0,0,0
8856_AndrewDecon_Group3_Bleach_EtOH_wash_Crushing,0,0,0,0,0,0,516,0,0,416,0,0,0,0,0,0,2354,3339,0,0,0,0,0,0,0,0,0,0,5413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,0,0,0,0,3986,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,0,827,991,1572,0,450,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,1991,401,1765,0,0,0,11026,0,0,0,4778,463,0,3868,350,570,2171,0,470,476,0,449,15164,0,0,0,411,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,2431,0,42357,0,0,0,0,2010,18597,0,0,932,450,0,0,1039,2265,2925,0,3473,612,4539,37601,0,0,0,730,0,1151,0,0,3358,2990,1525,619,667,375,370,0,0,0,354,461,0,328,1419,367,0,0,3585,370,848,0,368,1801,0,0,7410,394,0,6403,0,0,0,0,0,597,0,0,0,610
8857_AndrewDecon_Group3_Bleach_EtOH_wash_Crushing,0,0,0,0,0,418,694,0,660,0,1100,893,0,863,945,2825,7149,0,878,622,2168,0,0,0,0,0,0,0,9204,0,593,0,743,0,0,1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26570,0,0,0,0,0,1645,0,0,0,0,0,0,1955,0,0,0,1147,0,0,0,0,0,0,3573,0,0,0,0,446,696,0,0,0,3174,2139,4863,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2096,0,1245,0,2218,0,0,0,11045,0,0,0,14070,1288,0,0,7434,4551,1573,0,0,0,0,0,41190,0,424,0,507,619,0,544,0,0,44949,0,0,0,0,0,0,0,0,1089,0,0,0,0,17777,0,0,0,0,0,3901,0,0,1344,648,1854,0,0,0,881,0,543,0,10922,1318,0,0,595,0,990,0,0,0,0,2470,1981,0,0,0,680,0,712,0,0,2737,0,0,0,0,1075,0,0,0,1031,0,0,0,0,0,1315,0,0,3067,0,0,0,0,0,0,0,0,0,0
NegativeControl_AndrewDecon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,0,0,0,0,0,0,0,0,0,0,0,35,52,61,35,30,302,18,16,33,33,170,82,24,0,477,0,0,0,0,0,0,0,0,219,47,19,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,0,0,0,0,0,0,0,0,0,30,554,38,158,19,0,0,0,40,14,25,1057,28,707,19,14,727,123,981,45,16,67,0,0,311,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,35,19,0,16,40,186,0,0,13,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
